payment_id,order_id,payment_date,type,status,currency,gross_amount,fee_amount,customer_email,processor_batch
PAY-0202-002312,ORD-0202-02199,2026-07-26 06:29:00,charge,captured,EUR,304.24,9.12,ava.rossi85@example.com,BATCH-264
PAY-0202-002259,ORD-0202-02147,2026-07-21 00:18:51,charge,captured,USD,145.58,4.52,mia.weber47@example.com,BATCH-214
PAY-0202-000436,ORD-0202-00419,2026-07-14 16:36:13,charge,captured,USD,229.93,6.97,ben.khan87@example.com,BATCH-144
PAY-0202-002557,ORD-0202-02431,2026-07-02 21:46:02,charge,captured,USD,284.25,8.54,liam.brown90@example.com,BATCH-024
PAY-0202-002787,ORD-0202-02653,2026-07-19 16:00:27,charge,captured,USD,169.86,5.23,dana.garcia30@example.com,BATCH-193
PAY-0202-001471,ORD-0202-01396,2026-07-14 12:48:53,charge,captured,USD,68.99,2.30,ivy.mori7@example.com,BATCH-142
PAY-0202-000560,ORD-0202-00533,2026-07-08 07:54:06,charge,captured,USD,53.57,1.85,max.jones15@example.com,BATCH-083
PAY-0202-001679,ORD-0202-01598,2026-07-21 07:26:51,charge,captured,USD,75.55,2.49,zoe.cohen43@example.com,BATCH-213
PAY-0202-002423,ORD-0202-02307,2026-07-18 20:39:35,charge,captured,USD,205.42,6.26,ivy.silva83@example.com,BATCH-182
PAY-0202-001818,ORD-0202-01726,2026-07-18 23:14:24,charge,captured,USD,330.17,9.87,ben.levi40@example.com,BATCH-182
PAY-0202-002446,ORD-0202-02328,2026-07-02 06:12:19,charge,captured,USD,429.89,12.77,eli.garcia9@example.com,BATCH-023
PAY-0202-002065,ORD-0202-01960,2026-07-22 16:52:11,charge,captured,USD,338.76,10.12,hugo.khan85@example.com,BATCH-223
PAY-0202-001570,ORD-0202-01489,2026-07-03 18:48:48,charge,captured,USD,157.24,4.86,amir.novak95@example.com,BATCH-033
PAY-0202-001377,ORD-0202-01301,2026-07-07 20:52:14,charge,captured,USD,411.97,12.25,amir.cohen68@example.com,BATCH-072
PAY-0202-002952,ORD-0202-02812,2026-07-14 01:16:31,charge,captured,USD,435.48,12.93,noah.chen14@example.com,BATCH-142
PAY-0202-000503,ORD-0202-00480,2026-07-24 07:52:35,charge,captured,USD,16.03,0.76,sam.novak58@example.com,BATCH-243
PAY-0202-001127,ORD-0202-01058,2026-07-06 14:21:29,charge,captured,EUR,133.19,4.16,ivy.garcia95@example.com,BATCH-062
PAY-0202-001224,ORD-0202-01154,2026-07-08 19:29:43,charge,captured,USD,375.20,11.18,lucy.mori56@example.com,BATCH-083
PAY-0202-001254,ORD-0202-01183,2026-07-14 06:17:03,charge,captured,USD,458.50,13.60,eli.rossi91@example.com,BATCH-141
PAY-0202-000410,ORD-0202-00391,2026-07-20 21:52:07,charge,captured,USD,443.31,13.16,dana.mori22@example.com,BATCH-202
PAY-0202-001111,ORD-0202-01042,2026-07-24 16:51:29,charge,captured,USD,291.18,8.74,mia.weber23@example.com,BATCH-244
PAY-0202-001117,ORD-0202-01048,2026-07-14 18:27:23,charge,captured,USD,379.64,11.31,max.weber10@example.com,BATCH-143
PAY-0202-001796,ORD-0202-01705,2026-07-09 03:00:09,charge,captured,USD,346.67,10.35,jack.weber24@example.com,BATCH-093
PAY-0202-001835,ORD-0202-01742,2026-07-24 03:21:52,charge,captured,USD,463.37,13.74,faye.brown60@example.com,BATCH-241
PAY-0202-000250,ORD-0202-00240,2026-07-05 01:16:27,charge,captured,USD,451.06,13.38,omar.jones26@example.com,BATCH-054
PAY-0202-001433,ORD-0202-01358,2026-07-25 14:34:17,refund,captured,USD,123.89,0.00,jack.patel33@example.com,BATCH-251
PAY-0202-002953,ORD-0202-02814,2026-07-30 07:08:09,charge,captured,USD,1326.27,38.76,faye.silva81@example.com,BATCH-304
PAY-0202-000394,ORD-0202-00379,2026-07-15 18:58:20,charge,captured,USD,76.92,2.53,zoe.cohen52@example.com,BATCH-153
PAY-0202-002873,ORD-0202-02737,2026-07-18 20:34:33,charge,captured,USD,165.49,5.10,faye.smith93@example.com,BATCH-183
PAY-0202-001320,ORD-0202-01248,2026-07-12 16:26:30,charge,captured,USD,301.52,9.04,dana.silva29@example.com,BATCH-123
PAY-0202-003088,ORD-0202-02942,2026-07-20 21:51:39,charge,captured,USD,365.14,10.89,faye.patel94@example.com,BATCH-203
PAY-0202-002693,ORD-0202-02561,2026-07-29 14:14:34,charge,pending,EUR,65.74,0.00,lucy.khan6@example.com,BATCH-292
PAY-0202-002779,ORD-0202-02645,2026-07-26 15:07:35,charge,captured,USD,409.24,12.17,omar.weber98@example.com,BATCH-262
PAY-0202-000888,ORD-0202-00836,2026-07-29 10:15:49,charge,captured,USD,88.35,2.86,noah.weber47@example.com,BATCH-292
PAY-0202-002876,ORD-0202-02740,2026-07-18 17:04:48,charge,captured,USD,140.90,4.39,ben.jones53@example.com,BATCH-184
PAY-0202-000363,ORD-0202-00349,2026-07-22 05:43:11,charge,captured,USD,341.44,10.20,omar.weber78@example.com,BATCH-224
PAY-0202-002699,ORD-0202-02567,2026-07-05 19:06:29,charge,captured,USD,135.83,4.24,liam.chen38@example.com,BATCH-053
PAY-0202-002363,ORD-0202-02246,2026-07-12 02:32:01,charge,captured,USD,381.22,11.36,mia.diaz61@example.com,BATCH-123
PAY-0202-000689,ORD-0202-00652,2026-07-11 13:16:51,refund,captured,USD,131.68,0.00,ben.mori66@example.com,BATCH-112
PAY-0202-002781,ORD-0202-02646,2026-07-25 22:54:45,refund,captured,USD,93.49,0.00,noah.silva36@example.com,BATCH-254
PAY-0202-002071,ORD-0202-01967,2026-07-25 13:04:32,charge,captured,USD,198.34,6.05,eli.khan21@example.com,BATCH-252
PAY-0202-002668,ORD-0202-02537,2026-07-23 18:58:01,charge,captured,USD,452.72,13.43,jack.brown96@example.com,BATCH-231
PAY-0202-002149,ORD-0202-02043,2026-07-26 21:50:52,charge,captured,USD,407.92,12.13,max.chen14@example.com,BATCH-263
PAY-0202-000737,ORD-0202-00694,2026-07-28 10:38:28,refund,captured,USD,223.96,0.00,liam.kim88@example.com,BATCH-282
PAY-0202-002837,ORD-0202-02702,2026-07-25 02:13:38,charge,captured,USD,171.37,5.27,amir.mori42@example.com,BATCH-253
PAY-0202-000135,ORD-0202-00128,2026-07-25 06:28:45,charge,captured,USD,263.84,7.95,zoe.jones95@example.com,BATCH-254
PAY-0202-000590,ORD-0202-00560,2026-07-20 00:14:33,charge,captured,USD,420.46,12.49,zoe.brown53@example.com,BATCH-203
PAY-0202-002498,ORD-0202-02374,2026-07-25 05:14:51,charge,pending,USD,299.67,0.00,mia.mori99@example.com,BATCH-252
PAY-0202-000661,ORD-0202-00626,2026-07-04 10:12:03,charge,captured,USD,125.88,3.95,zoe.jones38@example.com,BATCH-044
PAY-0202-002470,ORD-0202-02351,2026-07-20 16:07:06,charge,captured,USD,473.27,14.02,noah.jones27@example.com,BATCH-203
PAY-0202-001001,ORD-0202-00936,2026-07-26 14:28:35,charge,captured,USD,157.67,4.87,liam.diaz18@example.com,BATCH-261
PAY-0202-000477,ORD-0202-00456,2026-07-05 19:46:34,charge,captured,USD,84.46,2.75,hugo.patel93@example.com,BATCH-053
PAY-0202-002439,ORD-0202-02323,2026-07-09 09:48:49,charge,captured,USD,180.63,5.54,lea.brown45@example.com,BATCH-094
PAY-0202-003157,ORD-0202-00798,2026-07-12 16:23:24,charge,captured,USD,378.05,11.26,max.garcia21@example.com,BATCH-RP5
PAY-0202-001777,ORD-0202-01689,2026-07-11 09:02:52,charge,captured,USD,135.73,4.24,hugo.garcia53@example.com,BATCH-111
PAY-0202-000950,ORD-0202-00891,2026-07-17 11:51:28,charge,captured,USD,59.42,2.02,hugo.cohen66@example.com,BATCH-172
PAY-0202-002617,ORD-0202-02487,2026-07-09 01:42:49,charge,captured,USD,303.77,9.11,zoe.patel23@example.com,BATCH-093
PAY-0202-002072,ORD-0202-01967,2026-07-27 10:26:05,refund,captured,USD,198.34,0.00,eli.khan21@example.com,BATCH-273
PAY-0202-002390,ORD-0202-02274,2026-07-04 13:44:00,charge,captured,EUR,302.70,9.08,ava.khan70@example.com,BATCH-041
PAY-0202-002352,ORD-0202-02235,2026-07-16 15:52:41,charge,captured,USD,19.18,0.86,noah.silva9@example.com,BATCH-164
PAY-0202-002842,ORD-0202-02707,2026-07-14 07:33:16,charge,captured,USD,59.97,2.04,ivy.jones38@example.com,BATCH-141
